,titles,dates
3302,The efficiency of electron acceleration by ICME-driven shocks,2020-12-20
3303,"In Situ Generation of High-Energy Spin-Polarized Electrons in a
  Beam-Driven Plasma Wakefield Accelerator",2021-01-25
3304,"Dynamics of small heavy particles in homogeneous turbulence: a
  Lagrangian experimental study",2021-03-11
3305,"Overlooked centrifugal and Coriolis forces in the Atmosphere due to the
  Earth's motion in the solar system",2021-05-04
3306,Composing Modeling and Simulation with Machine Learning in Julia,2021-05-12
3307,"A Robust CACC Scheme Against Cyberattacks Via Multiple
  Vehicle-to-Vehicle Networks",2021-06-19
3308,"Developing a 50 MeV LPA-based Injector at ATHENA for a Compact Storage
  Ring",2021-06-21
3309,Measurement and Analysis of GPU-accelerated Applications with HPCToolkit,2021-09-14
3310,PointAcc: Efficient Point Cloud Accelerator,2021-10-14
3311,"Multi Agent Reinforcement Learning Trajectory Design and Two-Stage
  Resource Management in CoMP UAV VLC Networks",2021-11-06
3312,"Spiker: an FPGA-optimized Hardware acceleration for Spiking Neural
  Networks",2022-01-18
3313,"FAT: An In-Memory Accelerator with Fast Addition for Ternary Weight
  Neural Networks",2022-01-19
3314,"On applicability of von Karman's momentum theory in predicting the water
  entry load of V-shaped structures with varying initial velocity",2022-07-21
3315,"Practical Operator Sketching Framework for Accelerating Iterative
  Data-Driven Solutions in Inverse Problems",2022-08-31
3316,"Concerning Classical Forces, Energies, and Potentials for Accelerated
  Point Charges",2022-10-07
3317,"Energy-Efficient Deployment of Machine Learning Workloads on
  Neuromorphic Hardware",2022-10-10
3318,Universal accelerating cosmologies from 10d supergravity,2022-10-19
3319,Proximal Subgradient Norm Minimization of ISTA and FISTA,2022-11-03
3320,Vortex dynamics of accelerated flow past a mounted wedge,2022-11-28
3321,"Particle acceleration in shearing flows: the self-generation of
  turbulent spine-sheath structures in relativistic MHD jet simulations",2022-12-06
3322,"A Unified Model for Bipolar Outflows from Young Stars: Apparent Magnetic
  Jet Acceleration",2023-01-20
3323,"DeepVigor: Vulnerability Value Ranges and Factors for DNNs' Reliability
  Assessment",2023-03-13
3324,"DGNN-Booster: A Generic FPGA Accelerator Framework For Dynamic Graph
  Neural Network Inference",2023-04-13
3325,"Revisiting the trajectory of the interstellar object 'Oumuamua:
  preference for a radially directed non-gravitational acceleration?",2023-04-14
3326,"CAMP-Net: Consistency-Aware Multi-Prior Network for Accelerated MRI
  Reconstruction",2023-06-20
3327,"Isolated horizons of the Hopf bundle structure transversal to the null
  direction, the horizon equations and embeddability in NUT-like spacetimes",2023-08-27
3328,"Cosmological model based on both holographic-like connection and
  Padmanabhan's holographic equipartition law",2023-09-28
3329,"Accelerating Scalable Graph Neural Network Inference with Node-Adaptive
  Propagation",2023-10-17
3330,Mass and wind luminosity of young Galactic open clusters in Gaia DR2,2023-11-15
3331,Photonics for Sustainable Computing,2024-01-10
3332,"Algorithm-hardware co-design for Energy-Efficient A/D conversion in
  ReRAM-based accelerators",2024-02-09
3333,"ASCEND: Accurate yet Efficient End-to-End Stochastic Computing
  Acceleration of Vision Transformer",2024-02-20
3334,"Leveraging Prior Mean Models for Faster Bayesian Optimization of
  Particle Accelerators",2024-02-28
3335,Particle Trapping and Acceleration in Turbulent Post-flare Coronal Loops,2024-03-11
3336,"CIS: Composable Instruction Set for Streaming Applications: Design,
  Modeling, and Scheduling",2024-06-28
3337,"Evidence for particle acceleration approaching PeV energies in the W51
  complex",2024-06-30
3338,"Neutrino Program at Fermilab -- Enhancing proton beam power and
  accelerator infrastructure",2024-07-10
3339,"Superdiffusion of energetic particles at shocks: A Lévy Flight model
  for acceleration",2024-08-07
3340,"SiHGNN: Leveraging Properties of Semantic Graphs for Efficient HGNN
  Acceleration",2024-08-27
3341,"Accelerate Neural Subspace-Based Reduced-Order Solver of Deformable
  Simulation by Lipschitz Optimization",2024-09-05
3342,"On Acceleration of Highest-Energy Cosmic Rays in Novel Scenario of
  Magnetar Transient",2024-09-30
3343,"Extracting the Potential of Emerging Hardware Accelerators for Symmetric
  Eigenvalue Decomposition",2024-10-03
3344,On the Foundation Model for Cardiac MRI Reconstruction,2024-11-15
3345,"All-optical compact setup for generation of collimated multi-MeV proton
  beams with a ""snail"" target",2024-11-26
3346,"Rigid Communication Topologies: Impact on Stability, Safety, Energy
  Consumption, Passenger Comfort, and Robustness of Vehicular Platoons",2024-12-11
3347,Accelerating Diffusion Transformers with Dual Feature Caching,2024-12-25
3348,"Comparative Analysis of Perturbed $f(R)$ Gravity and Perturbed Rastall
  Gravity Models in Describing Cosmic Evolution from Early to Late Universe
  Relative to the $Λ$CDM Model",2025-01-11
3349,Primordial black holes as cosmic expansion accelerators,2025-02-25
3350,Motion of dark solitons in trapped Bose-Einstein condensates,2000-01-25
3351,"Polygonization and plastic bending of whiskers induced by pulsed power
  electron beam",2000-07-17
3352,"Anomalous Diffusion of Inertial, Weakly Damped Particles",2006-04-10
3353,"The Expanding Universe, Planetary Motion and the Pioneer 10/11 Anomaly",2001-02-26
3354,"Accelerated cosmological expansion due to a scalar field whose potential
  has a positive lower bound",2004-03-16
3355,The String Coupling Accelerates the Expansion of the Universe,2005-03-30
3356,Nonlocal Effective Field Equations for Quantum Cosmology,2005-06-29
3357,"Dark Energy Fluid with Time-Dependent, Inhomogeneous Equation of State",2007-02-15
3358,Improved Langevin Methods for Spin Systems,1992-11-13
3359,Lagrangian statistics in fully developed turbulence,2004-02-19
3360,A trip to the end of the universe and the twin paradox,2006-12-13
3361,$\Bz\to\pip\pim\piz$ Time Dependent Dalitz analysis at BaBar,2007-04-04
3362,Time Evolution of Cosmic Ray MHD Shocks and Their Emissions,2007-06-05
3363,"Possible time-variability of the fine-structure constant expected from
  the accelerating universe",2007-09-14
3364,Time drift of cosmological redshifts and its variance,2007-11-13
3365,Can neutrino viscosity drive the late time cosmic acceleration?,2008-06-23
3366,Are Neutrino Oscillations a Non-stationary Phenomenon?,2009-03-30
3367,"Extending Firewall Session Table to Accelerate NAT, QoS Classification
  and Routing",2009-11-20
3368,The Construction of Sudden Cosmological Singularities,2010-03-04
3369,"Late time acceleration in a deformed phase space model of dilaton
  cosmology",2010-03-05
3370,"Space-time evolution induced by spinor fields with canonical and
  non-canonical kinetic terms",2011-02-24
3371,"Dynamics of the universe as a ""test 3-brane"" in a 5D bulk",2011-06-22
3372,DBI Galileon and Late time acceleration of the universe,2012-08-01
3373,Instrument Front-Ends at Fermilab During Run II,2012-09-12
3374,"Using the transverse digital damper as a real-time tune monitor for the
  Booster synchrotron at Fermilab",2012-09-19
3375,"The temporal evolution of the kinetic drift-Alfven instability of plasma
  shear flow",2013-04-21
3376,"Compact atomic gravimeter based on a pulsed and accelerated optical
  lattice",2013-09-06
3377,"Inhomogeneous viscous fluids in FRW universe and finite-future time
  singularities",2013-11-27
3378,Moderate deviations for recursive stochastic algorithms,2014-01-23
3379,Coupled fluids model in FRW space-time,2014-06-06
3380,"Time-Dependent Wormhole Solutions of $f(R)$ Theory of Gravity and Energy
  Conditions",2014-09-07
3381,A variational time discretization for the compressible Euler equations,2014-10-23
3382,"Some Invariant String Cosmological Models in Cylindrically Symmetric
  Space-time",2014-07-24
3383,Towards Faster InP Photonic Crystal All-Optical-Gates,2015-06-03
3384,Viability of Arctan Model of f(R) Gravity for Late-time Cosmology,2016-01-27
3385,"A Dynamic Overlay Supporting Just-In-Time Assembly to Construct
  Customized Hardware Accelerators",2016-03-03
3386,Faster GPU-based convolutional gridding via thread coarsening,2016-05-23
3387,Concentration of the velocity distribution of pulsed neutron beams,2016-11-17
3388,Falling Coupled Oscillators & Trigonometric Sums,2016-12-21
3389,"Fast optimal decomposed modification of FDK with potential decreasing of
  memory consuming",2017-08-24
3390,"A class of simple bouncing and late-time accelerating cosmologies in
  f(R) gravity",2017-11-04
3391,Variance-based sensitivity analysis for time-dependent processes,2017-11-21
3392,Eternal and Evanescent Black Holes: It's All Done With Mirrors,2017-11-27
3393,"A solution of the minimum-time velocity planning problem based on
  lattice theory",2018-09-06
3394,"A new and finite family of solutions of hydrodynamics: Part III:
  Advanced estimate of the life-time parameter",2018-09-29
3395,"Lyapunov-type characterisation of exponential dichotomies with
  applications to the heat and Klein-Gordon equations",2018-12-18
3396,"Time-energy uncertainty relation for neutrino oscillations in curved
  spacetime",2019-04-10
3397,"Equilibrium and nonequilibrium quantum correlations between two
  detectors in curved space time",2021-08-24
3398,Teleparallelism by inhomogeneous dark fluid,2013-12-04
3399,Space-Time Area in Atom Interferometry,2013-12-10
3400,Tachyon field non-minimally coupled to massive neutrino matter,2015-10-16
3401,Deformed special relativity based on $α$-deformed binary operations,2020-05-18
3402,"A new block diagonal preconditioner for a class of $3\times 3$ block
  saddle point problems",2021-09-23
3403,"Hybrid DoF: Ray-Traced and Post-Processed Hybrid Depth of Field Effect
  for Real-Time Rendering",2022-10-10
3404,"A Hybrid System for Real-time Rendering of Depth of Field Effect in
  Games",2022-10-11
3405,"Accelerated paths and Unruh effect II: finite time detector response in
  (Anti) de Sitter spacetime and Huygen's Principle",2023-01-20
3406,"Smooth real-time motion planning based on a cascade dual-quaternion
  screw-geometry MPC",2024-02-07
3407,"Approximation of the invariant measure for stochastic Allen-Cahn
  equation via an explicit fully discrete scheme",2024-08-01
3408,Look-Up Table based Neural Network Hardware,2024-06-07
3409,Stochastic Acceleration of Low Energy Electrons in Cold Plasmas,1996-10-19
3410,"Alfven Wave Generation by means of High Orbital Injection of Barium
  Cloud in Magnetosphere",2001-01-05
3411,From de Sitter to de Sitter: A New Cosmic Scenario without Dark Energy,2011-06-10
3412,The Alcubierre Warp Drive: On the Matter of Matter,2012-02-26
3413,Time-dependent theory of solar meridional flows,2017-06-06
3414,"Radiative acceleration calculation methods and abundance anomalies in Am
  stars",2024-10-14
3415,"The second law of thermodynamics, TCP, and Einstein causality in anti-de
  Sitter space-time",1999-05-25
3416,"GOTHIC: Gravitational oct-tree code accelerated by hierarchical time
  step controlling",2016-10-24
3417,"Launching jets from the boundary layer of accretion disks in young
  stellar objects",2003-05-22
3418,Efficiency of Nonlinear Particle Acceleration at Cosmic Structure Shocks,2004-10-29
3419,"Acceleration of Plasma Flows in the Solar Atmosphere Due to Magnetofluid
  Coupling - Simulation and Analysis",2005-02-17
3420,"Self-Similar Evolution of Cosmic-Ray Modified Shocks: The Cosmic-Ray
  Spectrum",2009-01-13
3421,De-Sitter nonlinear sigma model and accelerating universe,2009-05-16
3422,Coronal Mass Ejections - Propagation Time and Associated Internal Energy,2010-11-16
3423,"Efficient Accelerated Coordinate Descent Methods and Faster Algorithms
  for Solving Linear Systems",2013-05-08
3424,"Maximal freedom at minimum cost: linear large-scale structure in general
  modifications of gravity",2014-04-14
3425,"An Empirical Evaluation of Preconditioning Data for Accelerating Convex
  Hull Computations",2015-05-05
3426,"Local Radiation Hydrodynamic Simulations of Massive Star Envelopes at
  the Iron Opacity Peak",2015-09-17
3427,"Terahertz-driven, all-optical electron gun",2016-05-21
3428,"Intermittent Control Properties of Car Following: Theory and Driving
  Simulator Experiments",2016-09-07
3429,Rise time of proton cut-off energy in 2D and 3D PIC simulations,2016-11-25
3430,"Dendrite Net with Acceleration Module for Faster Nonlinear Mapping and
  System Identification",2020-06-04
3431,Consistent Approximation of Interpolating Splines in Image Metamorphosis,2021-08-02
3432,Proton activity of the Sun in current solar cycle 24,2014-08-11
3433,Tigris: Architecture and Algorithms for 3D Perception in Point Clouds,2019-11-16
3434,TaxoNN: A Light-Weight Accelerator for Deep Neural Network Training,2020-10-11
3435,"Automatic Mapping of the Best-Suited DNN Pruning Schemes for Real-Time
  Mobile Acceleration",2021-11-22
3436,"Parallel inverse-problem solver for time-domain optical tomography with
  perfect parallel scaling",2022-02-16
3437,"RAPIDx: High-performance ReRAM Processing in-Memory Accelerator for
  Sequence Alignment",2022-11-10
3438,"Comfort-oriented driving: performance comparison between human drivers
  and motion planners",2023-01-25
3439,Real-Time Image Demoireing on Mobile Devices,2023-02-04
3440,"Better Together: The Complex Interplay Between Radiative Cooling and
  Magnetic Draping",2023-04-19
3441,"An Accelerated Pipeline for Multi-label Renal Pathology Image
  Segmentation at the Whole Slide Image Level",2023-05-23
3442,"Feasibility of a trapped atom interferometer with accelerating optical
  traps",2023-08-23
3443,"FuseFPS: Accelerating Farthest Point Sampling with Fusing KD-tree
  Construction for Point Clouds",2023-09-10
3444,"Cosmic evolution in $f(Q,T)$ gravity: Exploring a higher-order
  time-dependent function of deceleration parameter with observational
  constraints",2023-09-25
3445,"PIM-GPT: A Hybrid Process-in-Memory Accelerator for Autoregressive
  Transformers",2023-10-13
3446,"Coupling of radiation and magnetospheric accretion flow in ULX pulsars:
  radiation pressure and photon escape time",2024-03-12
3447,"SemanticDraw: Towards Real-Time Interactive Content Creation from Image
  Diffusion Models",2024-03-14
3448,"Arena: A Patch-of-Interest ViT Inference Acceleration System for
  Edge-Assisted Video Analytics",2024-04-14
3449,SZKP: A Scalable Accelerator Architecture for Zero-Knowledge Proofs,2024-08-12
3450,"A Data-Driven Approach to Dataflow-Aware Online Scheduling for Graph
  Neural Network Inference",2024-11-25
3451,"Dynamical and Cosmological Aspects of Teleparallel and Extended
  Teleparallel Gravity",2025-01-19
3452,"SparAMX: Accelerating Compressed LLMs Token Generation on AMX-powered
  CPUs",2025-02-18
3453,"A consistent approach for the treatment of Fermi acceleration in
  time-dependent billiards",2011-02-08
3454,"The effect of a longitudinal density gradient on electron plasma wake
  field acceleration",2016-06-01
3455,"Accelerated Gradient Tracking over Time-varying Graphs for Decentralized
  Optimization",2021-04-06
3456,Generation and Life Cycle of Solar Spicules,2023-07-26
3457,"Six years of Venus winds at the upper cloud level from UV, visible and
  near infrared observations from VIRTIS on Venus Express",2024-01-30
3458,"Dosimetric calibration of an anatomically specific ultra-high dose rate
  electron irradiation platform for preclinical FLASH radiobiology experiments",2023-12-17
3459,"Efficient Algorithms and Routing Protocols for Handling Transient Single
  Node Failures",2008-10-19
3460,Optimal adaptive control of cascading power grid failures,2010-12-17
3461,A remark on the failure of multiplicity one for GSp(4),2011-08-18
3462,"Assessment of classification techniques on predicting success or failure
  of Software reusability",2014-09-08
3463,"Cascading Node Failure with Continuous States in Random Geometric
  Networks",2016-07-25
3464,Fibres of Failure: Classifying errors in predictive processes,2018-02-09
3465,"Explainable AI for System Failures: Generating Explanations that Improve
  Human Assistance in Fault Recovery",2020-11-18
3466,"Detecting User-Perceived Failure in Mobile Applications via Mining User
  Traces",2021-03-24
3467,"Mechanical characterization and failure modes in the peeling of
  adhesively bonded strips from a plastic substrate",2021-09-24
3468,Detection Software Content Failures Using Dynamic Execution Information,2021-10-13
3469,Robust Failure Diagnosis of Microservice System through Multimodal Data,2023-02-21
3470,"Beyond 5G Network Failure Classification for Network Digital Twin Using
  Graph Neural Network",2024-06-06
3471,"Connectivity Queries under Vertex Failures: Not Optimal, but Practical",2023-05-02
3472,Modified gravity with $f(R) = \sqrt{R^2 - R_0^2}$,2006-12-31
3473,Independent Confirmation of the Pioneer 10 Anomalous Acceleration,2002-08-16
3474,De Sitter Thermodynamics from Diamonds's Temperature,2005-04-11
3475,Turns and special relativity transformations,1999-09-15
3476,Accelerating networks,2007-01-30
3477,"Positioning in a flat two-dimensional space-time: the delay master
  equation",2010-05-04
3478,"On multidimensional cosmological solutions with scalar fields and
  2-forms corresponding to rank-3 Lie algebras: acceleration and small
  variation of G",2010-09-19
3479,A quantum field theoretical detector model for probing the Unruh effect,2013-05-13
3480,"Time-dependent Diffusive Shock Acceleration in Slow Supernova Remnant
  Shocks",2014-10-28
3481,Convective regularization for optical flow,2015-05-19
3482,"Time Resolved Measurement of Electron Cloud Densities from Dispersion of
  Transverse Electric Pulses",2015-11-05
3483,"Spicules: velocity, acceleration and scatter plots",2017-04-25
3484,"Inducing Uniform Asymptotic Stability in Non-Autonomous Accelerated
  Optimization Dynamics via Hybrid Regularization",2019-05-28
3485,"Trajectory Tracking for Quadrotors with Attitude Control on
  $\mathcal{S}^2 \times \mathcal{S}^1$",2019-06-17
3486,"Accelerated Optimization on Riemannian Manifolds via Discrete
  Constrained Variational Integrators",2021-04-15
3487,Spectral Variability Signatures of Relativistic Shocks in Blazars,2019-03-29
3488,"Computer based activity to understand proper acceleration using the
  Rindler observer",2022-06-24
3489,"Real-time Sampling-based Model Predictive Control based on Reverse
  Kullback-Leibler Divergence and Its Adaptive Acceleration",2022-12-08
3490,Timing of Pulsars in the Globular Cluster Omega Centauri,2023-03-06
3491,"Decentralized Optimization Over Slowly Time-Varying Graphs: Algorithms
  and Lower Bounds",2023-07-24
3492,"MPCGPU: Real-Time Nonlinear Model Predictive Control through
  Preconditioned Conjugate Gradient on the GPU",2023-09-15
3493,"SWAT: Scalable and Efficient Window Attention-based Transformers
  Acceleration on FPGAs",2024-05-27
3494,"Strong Structural Bounds for MaxSAT: The Fine Details of Using
  Neuromorphic and Quantum Hardware Accelerators",2024-12-13
3495,"THOR: A Non-Speculative Value Dependent Timing Side Channel Attack
  Exploiting Intel AMX",2025-02-24
3496,"Transition from decelerated to accelerated cosmic expansion in
  braneworld universes",2004-12-02
3497,Data series subtraction with unknown and unmodeled background noise,2014-04-18
3498,The microphysics of collisionless shock waves,2016-04-01
3499,Deep observations of Cas A with MAGIC indicate it is no PeVatron,2017-09-01
3500,"Is it possible to measure new general relativistic third-body effects on
  the orbit of Mercury with BepiColombo?",2018-05-21
3501,"Numerical modeling of laser tunneling ionization in Particle in Cell
  Codes with a laser envelope model",2020-06-08
3502,"An Impartial Perspective for Superconducting Nb3Sn coated Copper RF
  Cavities for Future Accelerators",2022-03-18
3503,"The SDSS-V Black Hole Mapper Reverberation Mapping Project: CIV BAL
  Acceleration in the Quasar SBS 1408+544",2024-06-12
3504,"BasisN: Reprogramming-Free RRAM-Based In-Memory-Computing by Basis
  Combination for Deep Neural Networks",2024-07-04
3505,"An Modified Cole's Importance Sampling Method For Low Error Floor
  QC-LDPC Codes Construction",2022-08-11
3506,"On The Non Thermal Emission and Acceleration of Electrons in Coma and
  Other Clusters of Galaxies",2001-01-10
3507,"Relativistic particle transport in extragalactic jets: I. Coupling MHD
  and kinetic theory",2003-03-26
3508,Star Formation in Space and Time: The Orion Nebula Cluster,2006-03-06
3509,Cen A as TeV gamma-ray and possible UHE cosmic-ray source,2009-10-13
3510,A Model for the Escape of Solar-Flare Accelerated Particles,2013-01-04
3511,UHECR acceleration at GRB internal shocks,2014-09-03
3512,Development of aging changes: self-accelerating and inhomogeneous,2015-03-26
3513,Particle Acceleration in Relativistic Electron-Ion Outlfows,2016-03-04
3514,The elusive synchrotron precursor of collisionless shocks,2017-01-30
3515,Relativity and Accelerator Engineering,2017-09-27
3516,Turbulence and Scale Relativity,2018-07-30
3517,"Joint multi-contrast Variational Network reconstruction (jVN) with
  application to rapid 2D and 3D imaging",2019-10-08
3518,"The Acceleration of Energetic Particles at Coronal Shocks and Emergence
  of a Double Power Law Feature in Particle Energy Spectra",2019-07-31
3519,A Universal LiDAR SLAM Accelerator System on Low-cost FPGA,2021-03-17
3520,X-Former: In-Memory Acceleration of Transformers,2023-03-13
3521,"LHAASO J2108+5157 as a Molecular Cloud Illuminated by a Supernova
  Remnant",2023-10-27
3522,"Particles in Relativistic MHD Jets II: Bridging Jet Dynamics with
  Multi-waveband Non-Thermal Emission Signatures",2024-09-24
3523,"Energy efficiency in Edge TPU vs. embedded GPU for computer-aided
  medical imaging segmentation and classification",2023-11-20
3524,"Rapid Reconstruction of Extremely Accelerated Liver 4D MRI via Chained
  Iterative Refinement",2024-12-14
3525,Irreversibility of Time for Quasi-Isolated Systems,2003-03-24
3526,Delayed Rejection Variational Monte Carlo,2004-07-20
3527,Cosmology in scalar tensor theory and asymptotically de-Sitter Universe,2001-03-27
3528,Quantum Breaking Time Scaling in the Superdiffusive Dynamics,2000-12-13
3529,Formula for red-shift of light signals coming from distant galaxies,2005-05-04
3530,"Time-resolved measurement of Landau-Zener tunneling in periodic
  potentials",2009-03-19
3531,Time duration of the parametric x-ray radiation,2011-06-10
3532,"Enhanced exploration for primordial black holes using pulsar timing
  arrays",2012-08-20
3533,Non-linear Gradient Algorithm for Parameter Estimation: Extended version,2015-09-08
3534,"Expansion and contraction of accretion disks of a rotating thermal BIon
  in a Rindler space-time",2019-02-21
3535,"Accelerating Path Planning for Autonomous Driving with Hardware-Assisted
  Memoization",2022-05-05
3536,Discovering Options for Exploration by Minimizing Cover Time,2019-03-02
3537,Parallel time-stepping for fluid-structure interactions,2019-07-02
3538,"Bamboo: Boosting Training Efficiency for Real-Time Video Streaming via
  Online Grouped Federated Transfer Learning",2023-08-19
3539,How does Casimir energy fall in $κ$-deformed space-time?,2024-04-16
3540,Light Travel Time Effects in Blazar Flares,2024-06-04
3541,"Use and Abuse of a Fractional Fokker-Planck Dynamics for Time-Dependent
  Driving",2007-03-15
3542,Time Delay in Swiss Cheese Gravitational Lensing,2010-06-17
3543,"Improve performance of tcp new reno over mobile ad-hoc network using
  abra",2011-05-02
3544,Transaction Log Based Application Error Recovery and Point In-Time Query,2012-08-21
3545,Survival models and health sequences,2013-01-12
3546,Dynamics of cancer recurrence,2013-07-19
3547,Quest-V: A Virtualized Multikernel for Safety-Critical Real-Time Systems,2013-10-23
3548,Maintaining Contour Trees of Dynamic Terrains,2014-06-16
3549,"An empirical evaluation of alternative methods of estimation for
  Permutation Entropy in time series with tied values",2017-05-31
3550,"Self-reporting and screening: Data with current-status and censored
  observations",2018-03-06
3551,"Deep Learning Based Video System for Accurate and Real-Time Parking
  Measurement",2019-02-20
3552,Introducing temporal behavior to computing science,2020-05-31
3553,"Quantum dots as a probe of fundamental physics: Deviation from
  exponential decay law",2021-06-30
3554,WOODS: Benchmarks for Out-of-Distribution Generalization in Time Series,2022-03-18
3555,"Detecting total hip replacement prosthesis design on preoperative
  radiographs using deep convolutional neural network",2019-11-27
3556,"Fixed-time Cooperative Guidance Law for Multiple Missiles in
  Simultaneous Attacks",2021-06-05
3557,"HDC-MiniROCKET: Explicit Time Encoding in Time Series Classification
  with Hyperdimensional Computing",2022-02-16
3558,Intrinsic Anomaly Detection for Multi-Variate Time Series,2022-06-29
3559,Fast GPU-Based Two-Way Continuous Collision Handling,2022-11-08
3560,Roundoff error problem in L2-type methods for time-fractional problems,2022-12-16
3561,GRNN-based Real-time Fault Chain Prediction,2023-03-15
3562,Fault-Tolerant Consensus in Quantum Networks,2023-05-18
3563,"Estimating Single-Node PageRank in $\tilde{O}\left(\min\{d_t,
  \sqrt{m}\}\right)$ Time",2023-07-24
3564,Sorting ECGs by lag irreversibility,2023-07-29
3565,A Survey of Time Series Anomaly Detection Methods in the AIOps Domain,2023-08-01
3566,SimSched: A tool for Simulating Autosar Implementaion in Simulink,2023-08-29
3567,"DACR: Distribution-Augmented Contrastive Reconstruction for Time-Series
  Anomaly Detection",2024-01-20
3568,"Waiting time statistics for a double quantum dot coupled with an optical
  cavity",2024-04-21
3569,Solving Co-Path/Cycle Packing and Co-Path Packing Faster Than $3^k$,2024-06-16
3570,"Position and Time Determination without Prior State Knowledge via
  Onboard Optical Observations of Delta Scuti Variable Stars",2024-06-25
3571,Deep learning for predicting the occurrence of tipping points,2024-07-26
3572,"Nonlinear Perturbation-based Non-Convex Optimization over Time-Varying
  Networks",2024-08-05
3573,Towards Unbiased Evaluation of Time-series Anomaly Detector,2024-09-19
3574,"UL-VIO: Ultra-lightweight Visual-Inertial Odometry with Noise Robust
  Test-time Adaptation",2024-09-19
3575,StreamEnsemble: Predictive Queries over Spatiotemporal Streaming Data,2024-09-30
3576,"A Picture is Worth A Thousand Numbers: Enabling LLMs Reason about Time
  Series via Visualization",2024-11-09
3577,"A Subquadratic Time Approximation Algorithm for Individually Fair
  k-Center",2024-12-06
3578,"Predicting Bad Goods Risk Scores with ARIMA Time Series: A Novel Risk
  Assessment Approach",2025-02-23
3579,Exact Failure Frequency Calculations for Extended Systems,2006-12-28
3580,Multidimensional Analysis of System Logs in Large-scale Cluster Systems,2009-06-07
3581,Measurement of Reciprocity Failure in Near Infrared Detectors,2010-12-10
3582,Reciprocity Failure in HgCdTe Detectors: Measurements and Mitigation,2011-06-06
3583,"Failure modes of complex materials with spatially-correlated mechanical
  properties -- the critical role of internal damage",2013-10-22
3584,Structural failure of two-density-layer cohesionless biaxial ellipsoids,2014-02-24
3585,"Investigating SCADA Failures in Interdependent Critical Infrastructure
  Systems",2014-04-30
3586,"Shape gradients for the failure probability of a mechanical component
  under cyclical loading",2018-06-12
3587,Utilising Explanations to Mitigate Robot Conversational Failures,2023-07-10
3588,"Observing microscopic structures of a relativistic object using a time
  -stretch strategy",2014-10-26
3589,"E. Noether's Discovery of the Deep Connection Between Symmetries and
  Conservation Laws",1998-07-23
3590,Heart Rate Variability: Measures and Models,2000-08-07
3591,"Existence of biological uncertainty principle implies that we can never
  find 'THE' measure for biological complexity",2009-02-03
3592,"Prediction of remaining life of power transformers based on left
  truncated and right censored lifetime data",2009-08-20
3593,"Universal adaptive self-stabilizing traversal scheme: random walk and
  reloading wave",2011-09-16
3594,Fault-Tolerant Aggregation: Flow-Updating Meets Mass-Distribution,2011-09-20
3595,MDCC: Multi-Data Center Consistency,2012-03-27
3596,Influenza Virus Vaccine Efficacy Based On Conserved Sequence Alignment,2012-06-02
3597,Coded Path Protection Part 1: Efficient Conversion of Sharing to Coding,2012-08-27
3598,Risk-driven migration and the collective-risk social dilemma,2012-10-24
3599,"Determination of the Stopping Power and Failure-time of Spacecraft
  Components due to Proton Interaction Using GOES 11 Acquisition Data",2013-03-02
3600,redMaPPer II: X-ray and SZ Performance Benchmarks for the SDSS Catalog,2013-03-14
3601,"The Dynamics of Rapid Fracture: Instabilities, Nonlinearities and Length
  Scales",2013-05-05
3602,Path Integrals and Reality,2013-05-28
3603,"Efficient and Robust Allocation Algorithms in Clouds under Memory
  Constraints",2013-10-19
3604,Sharing Rewards in Cooperative Connectivity Games,2014-02-04
3605,"Slow slip and the transition from fast to slow fronts in the rupture of
  frictional interfaces",2014-02-19
3606,Usage leading to an abrupt collapse of connectivity,2014-04-10
3607,"Mechanical Properties and Plasticity of a Model Glass Loaded Under
  Stress Control",2014-06-09
3608,The Effect of Visual Noise on The Completion of Security Critical Tasks,2014-05-21
3609,Using Regression Kernels to Forecast A Failure to Appear in Court,2014-09-05
3610,Refraction of swell by surface currents,2014-10-07
3611,"Dynamic instability of cooperation due to diverse activity patterns in
  evolutionary social dilemmas",2015-02-26
3612,"Spatio-temporal networks: reachability, centrality and robustness",2015-06-01
3613,Path-Fault-Tolerant Approximate Shortest-Path Trees,2015-07-07
3614,The Distribution of Bubble Sizes During Reionization,2015-11-04
3615,Dynamic signal tracking in a simple V1 spiking model,2016-01-12
3616,An Algorithm for Tolerating Crash Failures in Distributed Systems,2016-01-16
3617,"Medical Concept Representation Learning from Electronic Health Records
  and its Application on Heart Failure Prediction",2016-02-11
3618,"Technique Report: Near-Optimal Routing Protection for SDN Networks Using
  Distributed Markov Approximation",2016-03-05
3619,"Development and Validation of Functional Model of a Cruise Control
  System",2016-03-29
3620,"Microstructural topology effects on the onset of ductile failure in
  multi-phase materials - a systematic computational approach",2016-04-11
3621,Unbeatable Set Consensus via Topological and Combinatorial Reasoning,2016-05-24
3622,HashTag Erasure Codes: From Theory to Practice,2016-09-08
3623,"Developments and difficulties in predicting the relative velocities of
  inertial particles at the small-scales of turbulence",2016-09-13
3624,Integrating High Level and Low Level Planning,2016-11-26
3625,Mechanical Failure in Amorphous Solids: Scale Free Spinodal Criticality,2017-04-18
3626,"Atomistic simulations on ductile-brittle transition in <111> BCC Fe
  nanowires",2017-10-06
3627,"Building robust prediction models for defective sensor data using
  Artificial Neural Networks",2018-04-16
3628,Adaptive control in rollforward recovery for extreme scale multigrid,2018-04-17
