Title,Date,Authors
Discovering the key symptoms for identifying patterns in functional dyspepsia patients: Doctor's decision and machine learning.,2025,"Da-Eun Yoon, Heeyoung Moon, In-Seon Lee, Younbyoung Chae"
The Social Construction of Categorical Data: Mixed Methods Approach to Assessing Data Features in Publicly Available Datasets.,2025,"Theresa Willem, Alessandro Wollek, Theodor Cheslerean-Boghiu, Martha Kenney, Alena Buyx"
Artificial intelligence in antimicrobial stewardship: a systematic review and meta-analysis of predictive performance and diagnostic accuracy.,2025,"Flavia Pennisi, Antonio Pinto, Giovanni Emanuele Ricciardi, Carlo Signorelli, Vincenza Gianfredi"
Deep learning-enabled filter-free fluorescence microscope.,2025,"Bo Dai, Shaojie You, Kan Wang, Yan Long, Junyi Chen, Neil Upreti, Jing Peng, Lulu Zheng, Chenliang Chang, Tony Jun Huang, Yangtai Guan, Songlin Zhuang, Dawei Zhang"
Synthesized colonoscopy dataset from high-fidelity virtual colon with abnormal simulation.,2025,"Dongdong He, Ziteng Liu, Xunhai Yin, Hao Liu, Wenpeng Gao, Yili Fu"
Experimental Online Quantum Dots Charge Autotuning Using Neural Networks.,2025,"Victor Yon, Bastien Galaup, Claude Rohrbacher, Joffrey Rivard, Alexis Morel, Dominic Leclerc, Clément Godfrin, Ruoyu Li, Stefan Kubicek, Kristiaan De Greve, Eva Dupont Ferrier, Yann Beilliard, Roger G Melko, Dominique Drouin"
Predicting individual traits from models of brain dynamics accurately and reliably using the Fisher kernel.,2025,"Christine Ahrends, Mark W Woolrich, Diego Vidaurre"
Complete and Efficient Covariants for Three-Dimensional Point Configurations with Application to Learning Molecular Quantum Properties.,2024,"Hartmut Maennel, Oliver T Unke, Klaus-Robert Müller"
"Bolstering the HIV Surveillance System Through Innovative Methods, Technologic Advances, and Community-Driven Solutions to Inform Intervention Efforts and End the Epidemic.",2024,"Sarah C Mann, Joshua A Barocas"
Spatial recognition and semi-quantification of epigenetic events in pancreatic cancer subtypes with multiplexed molecular imaging and machine learning.,2025,"Krzysztof Szymoński, Natalia Janiszewska, Kamila Sofińska, Katarzyna Skirlińska-Nosek, Dawid Lupa, Michał Czaja, Marta Urbańska, Katarzyna Jurkowska, Kamila Konik, Marta Olszewska, Dariusz Adamek, Kamil Awsiuk, Ewelina Lipiec"
The application of machine learning algorithms for predicting length of stay before and during the COVID-19 pandemic: evidence from Wuhan-area hospitals.,2024,"Yang Liu, Renzhao Liang, Chengzhi Zhang"
Evaluation of the ABC pathway in patients with atrial fibrillation: A machine learning cluster analysis.,2025,"Jingyang Wang, Haiyang Bian, Jiangshan Tan, Jun Zhu, Lulu Wang, Wei Xu, Lei Wei, Xuegong Zhang, Yanmin Yang"
The predictive role of sedentary behavior and physical activity on adolescent depressive symptoms: A machine learning approach.,2025,"Lin Li, Dongxi Guo, Chengchao Shi, Yifan Zheng"
A tactile perception method with flexible grating structural color.,2025,"Yuze Qiu, Chunfei Yan, Yan Zhang, Shengxuan Yang, Xiang Yao, Fawen Ai, Jinjin Zheng, Shiwu Zhang, Xinge Yu, Erbao Dong"
"Understanding Compound Efflux from Gram-Negative Bacteria, a Final Frontier for Antibiotic Discovery.",2025,"Rebecca J Ulrich, Paul J Hergenrother"
Sustainable machining of Inconel 718 using minimum quantity lubrication: Artificial intelligence-based process modelling.,2024,"Muhammad Umar Farooq, Raman Kumar, Anamta Khan, Jagdeep Singh, Saqib Anwar, Amit Verma, Rodolfo Haber"
Predicting Intensive Care Unit Admission in COVID-19-Infected Pregnant Women Using Machine Learning.,2024,"Azamat Mukhamediya, Iliyar Arupzhanov, Amin Zollanvari, Saule Zhumambayeva, Kamalzhan Nadyrov, Zaituna Khamidullina, Karina Tazhibayeva, Aigul Myrzabekova, Kulyash K Jaxalykova, Milan Terzic, Gauri Bapayeva, Saltanat Kulbayeva, Gulzhan Narkenovna Abuova, Baktigali Aubayevich Erezhepov, Asselzhan Sarbalina, Aigerim Sipenova, Kymbat Mukhtarova, Ghazal Ghahramany, Antonio Sarria-Santamera"
Momentary Depression Severity Prediction in Patients With Acute Depression Who Undergo Sleep Deprivation Therapy: Speech-Based Machine Learning Approach.,2024,"Lisa-Marie Hartnagel, Daniel Emden, Jerome C Foo, Fabian Streit, Stephanie H Witt, Josef Frank, Matthias F Limberger, Sara E Schmitz, Maria Gilles, Marcella Rietschel, Tim Hahn, Ulrich W Ebner-Priemer, Lea Sirignano"
Dementia as a predictor of palliative care: Uncovering patient patterns based on German claims data.,2025,"Elena Rakuša, Constantin Reinke, Gabriele Doblhammer, Lukas Radbruch, Matthias Schmid, Thomas Welchowski"
Machine Learning Models to Identify Individuals With Imminent Suicide Risk Using a Wearable Device: A Pilot Study.,2025,"Jumyung Um, Jongsu Park, Dong Eun Lee, Jae Eun Ahn, Ji Hyun Baek"
Methods for estimating resting energy expenditure in intensive care patients: A comparative study of predictive equations with machine learning and deep learning approaches.,2025,"Christopher Yew Shuen Ang, Mohd Basri Mat Nor, Nur Sazwi Nordin, Thant Zin Kyi, Ailin Razali, Yeong Shiong Chiew"
"Tweeted, Trolled, Twisted: Battling for Narrative Control in E-Cigarette Use Prevention Campaigns (2014-2020).",2025,"Miao Feng, Chandler C Carter, Simon Page, Sherry L Emery, Hy Tran, Ganna Kostygina"
The early warning paradox.,2025,"Hugh Logan Ellis, Edward Palmer, James T Teo, Martin Whyte, Kenneth Rockwood, Zina Ibrahim"
Cross-session SSVEP brainprint recognition using attentive multi-sub-band depth identity embedding learning network.,2025,"Chengxian Gu, Xuanyu Jin, Li Zhu, Hangjie Yi, Honggang Liu, Xinyu Yang, Fabio Babiloni, Wanzeng Kong"
Multimodal Prediction of Obsessive-Compulsive Disorder and Comorbid Depression Severity and Energy Delivered by Deep Brain Electrodes.,2024,"Saurabh Hinduja, Ali Darzi, Itir Onal Ertugrul, Nicole Provenza, Ron Gadot, Eric A Storch, Sameer A Sheth, Wayne K Goodman, Jeffrey F Cohn"
MOSAEC-DB: a comprehensive database of experimental metal-organic frameworks with verified chemical accuracy suitable for molecular simulations.,2025,"Marco Gibaldi, Anna Kapeliukha, Andrew White, Jun Luo, Robert Alex Mayo, Jake Burner, Tom K Woo"
Using machine learning analysis to describe patterns in tissue Doppler and speckle tracking echocardiography in patients with transposition of the great arteries after arterial switch operation.,2025,"Covadonga Terol Espinosa de Los Monteros, Roel L F van der Palen, Jef Van den Eynde, Lukas Rammeloo, Mark G Hazekamp, Nico A Blom, Irene M Kuipers, Arend D J Ten Harkel"
Correction to: Machine learning-based infection diagnostic and prognostic models in post-acute care settings: a systematic review.,2025,No authors listed
Stochastic generalization models learn to comprehensively detect volatile organic compounds associated with foodborne pathogens ,2025,"Bohong Zhang, Anand K Nambisan, Abhishek Prakash Hungund, Xavier Jones, Qingbo Yang, Jie Huang"
Analysis of time-of-flight secondary ion mass spectrometry data of human skin treated with diclofenac using sparse autoencoder.,2025,"Atsumi Shinozaki, Kazuhiro Matsuda, Satoka Aoyagi"
Impact of glioma metabolism-related gene ALPK1 on tumor immune heterogeneity and the regulation of the TGF-β pathway.,2024,"YaoFeng Hu, Sen Qin, RuCui Deng"
Detecting IDH and TERTp mutations in diffuse gliomas using ,2025,"Banu Sacli-Bilmez, Abdullah Bas, Ayça Erşen Danyeli, M Cengiz Yakicier, M Necmettin Pamir, Koray Özduman, Alp Dinçer, Esin Ozturk-Isik"
Machine learning-based identification of histone deacetylase-associated prognostic factors and prognostic modeling for low-grade glioma.,2024,"Keshan Wen, Weijie Zhu, Ziyi Luo, Wei Wang"
Predictive utility of the machine learning algorithms in predicting tendinopathy: a meta-analysis of diagnostic test studies.,2025,"Duncan Muir, Ahmed Elgebaly, Woo Jae Kim, Ahmad Althaher, Ali Narvani, Mohamed A Imam"
Analysis and Visualization of Confounders and Treatment Pathways Leading to Amputation and Non-Amputation in Peripheral Artery Disease Patients Using Sankey Diagrams: Enhancing Explainability.,2025,"Rajashekar Korutla, Douglas Tedder, Kathryn Brogan, Marko Milosevic, Michael P Wilczek, Naim Shehadeh, Nawar Shara, Elsie G Ross, Saeed Amal"
"Recurrence in congenital diaphragmatic hernia: A multicenter, postdischarge pilot study.",2025,"Vikas S Gupta, Kylie I Holden, Priscilla P Chiu, Akila B Ramaraj, Chase M Miller, Elizabeth C Popp, Noor Bakir, Rebecca A Stark, Terry L Buchmiller, Ashley H Ebanks, Kevin P Lally, Matthew T Harting"
AI-driven feature selection and epigenetic pattern analysis: A screening strategy of CpGs validated by pyrosequencing for body fluid identification.,2025,"Ming Zhao, Meiming Cai, Fanzhang Lei, Xi Yuan, Qinglin Liu, Yating Fang, Bofeng Zhu"
A Machine Learning-Based Decision Support System for the Prognostication of Neurological Outcomes in Successfully Resuscitated Out-of-Hospital Cardiac Arrest Patients.,2024,"Sijin Lee, Kwang-Sig Lee, Sang-Hyun Park, Sung Woo Lee, Su Jin Kim"
Non-stationary Domain Generalization: Theory and Algorithm.,2024,"Thai-Hoang Pham, Xueru Zhang, Ping Zhang"
A Comparative Analysis of Explainable Artificial Intelligence Models for Electric Field Strength Prediction over Eight European Cities.,2024,"Yiannis Kiouvrekis, Ioannis Givisis, Theodor Panagiotakopoulos, Ioannis Tsilikas, Agapi Ploussi, Ellas Spyratou, Efstathios P Efstathopoulos"
GQEO: Nearest neighbor graph-based generalized quadrilateral element oversampling for class-imbalance problem.,2025,"Qi Dai, Longhui Wang, Jing Zhang, Weiping Ding, Lifang Chen"
Exploring the role of oxidative stress in carotid atherosclerosis: insights from transcriptomic data and single-cell sequencing combined with machine learning.,2025,"Yiqin Yang, Mei Dong"
Prognostication and integration of bedside lung ultrasound and computed tomography imaging findings with clinical features to Predict COVID-19 In-hospital mortality and ICU admission.,2025,"Mohammad Reza Maghsoudi, Amirhesam Alirezaei, Atena Soltanzadi, Sepehr Aghajanian, Arvin Naeimi, Ayad Bahadori Monfared, Fateme Mohammadifard, Mahmood Bakhtiyari"
Architecture-Aware Augmentation: A Hybrid Deep Learning and Machine Learning Approach for Enhanced Parkinson's Disease Detection.,2024,"Madjda Khedimi, Tao Zhang, Hanine Merzougui, Xin Zhao, Yanzhang Geng, Khamsa Djaroudib, Pascal Lorenz"
Hospital Artificial Intelligence/Machine Learning Adoption by Neighborhood Deprivation.,2025,"Jie Chen, Alice Shijia Yan"
A multimodal dataset for robotic peg extraction based on Bioin-Tacto sensor modules.,2025,"Viral Galayia, Ruslan Masinjila, Soheil Khatibi, Thiago Eustaquio Alves de Oliveira, Xianta Jiang, Vinicius Prado da Fonseca"
Prediction of Concrete Compressive Strength Based on ISSA-BPNN-AdaBoost.,2024,"Ping Li, Zichen Zhang, Jiming Gu"
Machine learning-based prediction of non-aeration linear alkylbenzene sulfonate mineralization in an oxygenic microalgal-bacteria biofilm.,2025,"Libo Xia, Beibei Wu, Xiaocai Cui, Ting Ran, Qian Li, Yun Zhou"
Value of the combination of intraepithelial tumor-infiltrating lymphocyte density and the heterogeneity of density as a prognostic marker in stage III colorectal cancers.,2024,"Hye-Yeong Jin, Lingyan Jin, Seung Yeon Yoo, Nam-Yun Cho, Jeong Mo Bae, Jung Ho Kim, Hye Seung Lee, Gyeong Hoon Kang"
Are crystalloid-based fluid expansion strategies still relevant in the first hours of trauma induced hemorrhagic shock?,2024,"Perrine Tubert, Alexandre Kalimouttou, Pierre Bouzat, Jean-Stéphane David, Tobias Gauss"
Random Survival Forest Machine Learning for the Prediction of Cardiovascular Events Among Patients With a Measured Lipoprotein(a) Level: A Model Development Study.,2025,"Jay B Lusk, Emily C O'Brien, Bradley G Hammill, Fan Li, Brian Mac Grory, Manesh R Patel, Neha J Pagidipati, Nishant P Shah"
The first geospatial dataset of irrigated fields (2020-2024) in Vojvodina (Serbia).,2025,"Mirjana Radulović, Miljana Marković, Sanja Brdar, Ioannis Athanasiadis, Gordan Mimić"
A machine learning approach to feature selection and uncertainty analysis for biogas production in wastewater treatment plants.,2025,"Mahsa Samkhaniani, Shabnam Sadri Moghaddam, Hassan Mesghali, Amirhossein Ghajari, Nima Gozalpour"
Precision psychiatry: thinking beyond simple prediction models - enhancing causal predictions.,2025,"Rajeev Krishnadas, Samuel P Leighton, Peter B Jones"
Nonlinearity of the post-spinel transition and its expression in slabs and plumes worldwide.,2025,"Junjie Dong, Rebecca A Fischer, Lars P Stixrude, Matthew C Brennan, Kierstin Daviau, Terry-Ann Suer, Katlyn M Turner, Yue Meng, Vitali B Prakapenka"
Clinically oriented automatic three-dimensional enamel segmentation via deep learning.,2025,"Wenting Yu, Xinwen Wang, Huifang Yang"
Identification of potential biomarkers for hepatocellular carcinoma based on machine learning and bioinformatics analysis.,2024,"Chen Chen, Rui Peng, Shengjie Jin, Yuhong Tang, Huanxiang Liu, Daoyuan Tu, Bingbing Su, Shunyi Wang, Guoqing Jiang, Jun Cao, Chi Zhang, Dousheng Bai"
"To ensure trust, AI weather-forecast models still need training in physics.",2025,Alan Thorpe
An examination of daily CO,2025,"Adewole Adetoro Ajala, Oluwatosin Lawrence Adeoye, Olawale Moshood Salami, Ayoola Yusuf Jimoh"
Unsupervised inter-domain transformation for virtually stained high-resolution mid-infrared photoacoustic microscopy using explainable deep learning.,2024,"Eunwoo Park, Sampa Misra, Dong Gyu Hwang, Chiho Yoon, Joongho Ahn, Donggyu Kim, Jinah Jang, Chulhong Kim"
Replica tree-based federated learning using limited data.,2025,"Ramona Ghilea, Islem Rekik"
"A comparative analysis of dengue, chikungunya, and Zika manifestations in a pediatric cohort over 18 years.",2025,"Fausto Andres Bustos Carrillo, Sergio Ojeda, Nery Sanchez, Miguel Plazaola, Damaris Collado, Tatiana Miranda, Saira Saborio, Brenda Lopez Mercado, Jairo Carey Monterrey, Sonia Arguello, Lora Campredon, Zijin Chu, Colin J Carlson, Aubree Gordon, Angel Balmaseda, Guillermina Kuan, Eva Harris"
ChatGPT is an Unreliable Source of Peer-Reviewed Information for Common Total Knee and Hip Arthroplasty Patient Questions.,2025,"Jonathan D Schwartzman, M Kareem Shaath, Matthew S Kerr, Cody C Green, George J Haidukewych"
Machine learning-based multi-omics models for diagnostic classification and risk stratification in diabetic kidney disease.,2025,"Xian Shao, Suhua Gao, Pufei Bai, Qian Yang, Yao Lin, Mingzhen Pang, Weixi Wu, Lihua Wang, Ying Li, Saijun Zhou, Hongyan Liu, Pei Yu"
Impact of deep learning on pediatric elbow fracture detection: a systematic review and meta-analysis.,2025,"Le Nguyen Binh, Nguyen Thanh Nhu, Pham Thi Uyen Nhi, Do Le Hoang Son, Nguyen Bach, Hoang Quoc Huy, Nguyen Quoc Khanh Le, Jiunn-Horng Kang"
Machine learning-assisted assessment of municipal solid waste thermal treatment efficacy via rapid image recognition and visual analysis.,2025,"Zixiao Wu, Jia Jia, Xiaohui Sun, Dongsheng Shen, Foquan Gu, Ying Kang, Yuyang Long"
Efficient crystal structure prediction based on the symmetry principle.,2025,"Yu Han, Chi Ding, Junjie Wang, Hao Gao, Jiuyang Shi, Shaobo Yu, Qiuhan Jia, Shuning Pan, Jian Sun"
Unlocking the link: predicting cardiovascular disease risk with a focus on airflow obstruction using machine learning.,2025,"Xiyu Cao, Jianli Ma, Xiaoyi He, Yufei Liu, Yang Yang, Yaqi Wang, Chuantao Zhang"
Advancing Ethical Considerations for Data Science in Injury and Violence Prevention.,2025,"Nimi Idaikkadar, Eva Bodin, Preetam Cholli, Livia Navon, Leonard Ortmann, John Banja, Lance A Waller, Alen Alic, Keming Yuan, Royal Law"
Medical AI and AI for Medical Sciences.,2025,"Kazuhiro Sakurada, Tetsuo Ishikawa, Junna Oba, Masahiro Kuno, Yuji Okano, Tomomi Sakamaki, Tomohiro Tamura"
Bioinformatics analysis of shared biomarkers and immune pathways of preeclampsia and periodontitis.,2025,"Fangyi Ruan, Yinan Wang, Xiang Ying, Yadan Liu, Jinghui Xu, Huanqiang Zhao, Yawei Zhu, Ping Wen, Xiaotian Li, Qiongjie Zhou, Hefeng Huang"
Genome-wide identification and expression analysis of phytochrome gene family in Aikang58 wheat (,2024,"Zhu Yang, Wenjie Kan, Ziqi Wang, Caiguo Tang, Yuan Cheng, Dacheng Wang, Yameng Gao, Lifang Wu"
Estimating the time-varying effective reproduction number via Cycle Threshold-based Transformer.,2024,"Xin-Yu Zhang, Lan-Lan Yu, Wei-Yi Wang, Gui-Quan Sun, Jian-Cheng Lv, Tao Zhou, Quan-Hui Liu"
"An assessment of breast cancer HER2, ER, and PR expressions based on mammography using deep learning with convolutional neural networks.",2025,"Shun Zeng, Hongyu Chen, Rui Jing, Wenzhuo Yang, Ligong He, Tianle Zou, Peng Liu, Bo Liang, Dan Shi, Wenhao Wu, Qiusheng Lin, Zhenyu Ma, Jinhui Zha, Yonghao Zhong, Xianbin Zhang, Guangrui Shao, Peng Gong"
Identification of urinary metabolites correlated with tacrolimus levels through high-precision liquid chromatography-mass spectrometry and machine learning algorithms in kidney transplant patients.,2025,"Dan Burghelea, Tudor Moisoiu, Cristina Ivan, Alina Elec, Adriana Munteanu, Raluca Tabrea, Oana Antal, Teodor Paul Kacso, Carmen Socaciu, Florin Ioan Elec, Ina Maria Kacso"
"Machine Learning for Lung Cancer Subtype Classification: Combining Clinical, Histopathological, and Biophysical Features.",2025,"Aiga Andrijanova, Lasma Bugovecka, Sergejs Isajevs, Donats Erts, Uldis Malinovskis, Andis Liepins"
An assessment of machine learning methods to quantify blood lactate from neutrophils phagocytic activity.,2025,"Muhammad Nabeel Tahir, Kurt Wagner, Umer Hassan"
SEPO-FI: Deep-learning based software to calculate fusion index of muscle cells.,2025,"Kyungchang Jeong, Sanghun Park, Gyuchan Jo, Hanbit Seo, Nayoung Choi, Soyoung Jang, Gyutae Park, Young-Duk Seo, Yuan H Brad Kim, Ji-Hoon Jeong, Sang-Hwan Hyun, Jungseok Choi, Euijong Lee"
Real-time acoustic monitoring of laser paint removal based on deep learning.,2025,"Depu Chu, Hao Zhou, Huomu Yang, Guoliang Deng, Hong Zhao, Shouhuan Zhou"
Unveiling diabetes onset: Optimized XGBoost with Bayesian optimization for enhanced prediction.,2025,"Muhammad Rizwan Khurshid, Sadaf Manzoor, Touseef Sadiq, Lal Hussain, Mohammed Shahbaz Khan, Ashit Kumar Dutta"
Identification of Lipophagy-Related Gene Signature for Diagnosis and Risk Prediction of Alzheimer's Disease.,2025,"Hongxiu Guo, Siyi Zheng, Shangqi Sun, Xueying Shi, Xiufeng Wang, Yang Yang, Rong Ma, Gang Li"
