Title,Date,Authors,Abstract
Integrative Analysis of Pharmacology and Transcriptomics Predicts Resveratrol Will Ameliorate Microplastics-Induced Lung Damage by Targeting Ccl2 and Esr1.,2024-Dec-14,"Yadong Zhang, Jingyi Ren, Siqi Zhu, Zihao Guo, Huanting Pei, Xiaoya Sun, Jiarui Wu, Weijie Yang, Jinshi Zuo, Yuxia Ma","Microplastics (MPs) are ubiquitous on earth, posing a growing threat to human health. Previous studies have shown that the lung is a primary organ for MPs exposure. Resveratrol (RES) is a common dietary polyphenol that exhibits anti-inflammatory and antioxidant effects. However, whether RES exerts a protective effect against MPs-induced lung damage is still unknown."
Development of a depression in Parkinson's disease prediction model using machine learning.,2020-Oct-19,Haewon Byeon,It is important to diagnose depression in Parkinson's disease (DPD) as soon as possible and identify the predictors of depression to improve quality of life in Parkinson's disease (PD) patients.
The Impact of Pretrained Language Models on Negation and Speculation Detection in Cross-Lingual Medical Text: Comparative Study.,2020-Dec-03,"Renzo Rivera Zavala, Paloma Martinez","Negation and speculation are critical elements in natural language processing (NLP)-related tasks, such as information extraction, as these phenomena change the truth value of a proposition. In the clinical narrative that is informal, these linguistic facts are used extensively with the objective of indicating hypotheses, impressions, or negative findings. Previous state-of-the-art approaches addressed negation and speculation detection tasks using rule-based methods, but in the last few years, models based on machine learning and deep learning exploiting morphological, syntactic, and semantic features represented as spare and dense vectors have emerged. However, although such methods of named entity recognition (NER) employ a broad set of features, they are limited to existing pretrained models for a specific domain or language."
Research on hybrid intrusion detection method based on the ADASYN and ID3 algorithms.,2022-Jan,"Yue Li, Wusheng Xu, Wei Li, Ang Li, Zengjin Liu","Intrusion detection system plays an important role in network security. Early detection of the potential attacks can prevent the further network intrusion from adversaries. To improve the effectiveness of the intrusion detection rate, this paper proposes a hybrid intrusion detection method that utilizes ADASYN (Adaptive Synthetic) and the decision tree based on ID3 algorithm. At first, the intrusion detection dataset is transformed by coding technology and normalized. Subsequently, the ADASYN algorithm is applied to implement oversampling on the training set, and the ID3 algorithm is employed to build a decision tree model. In addition, the model proposed by the research is evaluated by accuracy, precision, recall, and false alarm rate. Besides, a performance comparison is conducted with other models. Consequently, it is found that the combined model based on ADASYN and ID3 decision tree proposed in this research possesses higher accuracy as well as lower false alarm rate, which is more suitable for intrusion detection tasks."
Modeling the adsorption of PAH mixture in silica nanopores by molecular dynamic simulation combined with machine learning.,2016-Feb,"Hong Sui, Lin Li, Xinzhe Zhu, Daoyi Chen, Guozhong Wu","The persistence of polycyclic aromatic hydrocarbons (PAHs) in contaminated soils is largely controlled by their molecular fate in soil pores. The adsorption and diffusion of 16 PAHs mixture in silica nanopore with diameter of 2.0, 2.5, 3.0 and 3.5 nm, respectively, were characterized by adsorption energy, mean square displacement, free surface area and free volume fraction using molecular dynamic (MD) simulation. Results suggested that PAHs adsorption in silica nanopores was associated with diffusion process while competitive sorption was not the dominant mechanism in context of this study. The partial least squares (PLS) regression and machine learning (ML) methods (i.e. support vector regression, M5 decision tree and multilayer perceptrons) were used to correlate the adsorption energy with the pore diameter and PAH properties (number of carbon atoms, aromatic ring number, boiling point, molecular weight, octanol-water partition coefficient, octanol-organic carbon partition coefficient, solvent accessible area, solvent accessible volume and polarization). Results indicated that the PAH adsorption could not be predicted by linear regression as the R(2)Y and Q(2)Y coefficients of PLS analysis was 0.375 and 0.199, respectively. The nonlinearity was well recognized by ML with correlation coefficient up to 0.9. Overall, the combination of MD simulation and ML approaches can assist in interpreting the sequestration of organic contaminants in the soil nanopores."
Current Trends of Raman Spectroscopy in Clinic Settings: Opportunities and Challenges.,2024-Feb,"Yumei Wang, Liuru Fang, Yuhua Wang, Zuzhao Xiong","Early clinical diagnosis, effective intraoperative guidance, and an accurate prognosis can lead to timely and effective medical treatment. The current conventional clinical methods have several limitations. Therefore, there is a need to develop faster and more reliable clinical detection, treatment, and monitoring methods to enhance their clinical applications. Raman spectroscopy is noninvasive and provides highly specific information about the molecular structure and biochemical composition of analytes in a rapid and accurate manner. It has a wide range of applications in biomedicine, materials, and clinical settings. This review primarily focuses on the application of Raman spectroscopy in clinical medicine. The advantages and limitations of Raman spectroscopy over traditional clinical methods are discussed. In addition, the advantages of combining Raman spectroscopy with machine learning, nanoparticles, and probes are demonstrated, thereby extending its applicability to different clinical phases. Examples of the clinical applications of Raman spectroscopy over the last 3 years are also integrated. Finally, various prospective approaches based on Raman spectroscopy in clinical studies are surveyed, and current challenges are discussed."
Low-Dose CT Image Denoising Using a Generative Adversarial Network With Wasserstein Distance and Perceptual Loss.,2018-Jun,"Qingsong Yang, Pingkun Yan, Yanbo Zhang, Hengyong Yu, Yongyi Shi, Xuanqin Mou, Mannudeep K Kalra, Yi Zhang, Ling Sun, Ge Wang","The continuous development and extensive use of computed tomography (CT) in medical practice has raised a public concern over the associated radiation dose to the patient. Reducing the radiation dose may lead to increased noise and artifacts, which can adversely affect the radiologists' judgment and confidence. Hence, advanced image reconstruction from low-dose CT data is needed to improve the diagnostic performance, which is a challenging problem due to its ill-posed nature. Over the past years, various low-dose CT methods have produced impressive results. However, most of the algorithms developed for this application, including the recently popularized deep learning techniques, aim for minimizing the mean-squared error (MSE) between a denoised CT image and the ground truth under generic penalties. Although the peak signal-to-noise ratio is improved, MSE- or weighted-MSE-based methods can compromise the visibility of important structural details after aggressive denoising. This paper introduces a new CT image denoising method based on the generative adversarial network (GAN) with Wasserstein distance and perceptual similarity. The Wasserstein distance is a key concept of the optimal transport theory and promises to improve the performance of GAN. The perceptual loss suppresses noise by comparing the perceptual features of a denoised output against those of the ground truth in an established feature space, while the GAN focuses more on migrating the data noise distribution from strong to weak statistically. Therefore, our proposed method transfers our knowledge of visual perception to the image denoising task and is capable of not only reducing the image noise level but also trying to keep the critical information at the same time. Promising results have been obtained in our experiments with clinical CT images."
Image-based state-of-the-art techniques for the identification and classification of brain diseases: a review.,2020-Nov,"Ejaz Ul Haq, Jianjun Huang, Li Kang, Hafeez Ul Haq, Tijiang Zhan","Detection and classification methods have a vital and important role in identifying brain diseases. Timely detection and classification of brain diseases enable an accurate identification and effective management of brain impairment. Brain disorders are commonly most spreadable diseases and the diagnosing process is time-consuming and highly expensive. There is an utmost need to develop effective and advantageous methods for brain diseases detection and characterization. Magnetic resonance imaging (MRI), computed tomography (CT), and other various brain imaging scans are used to identify different brain diseases and disorders. Brain imaging scans are the efficient tool to understand the anatomical changes in brain in fast and accurate manner. These different brain imaging scans used with segmentation techniques and along with machine learning and deep learning techniques give maximum accuracy and efficiency. This paper focuses on different conventional approaches, machine learning and deep learning techniques used for the detection, and classification of brain diseases and abnormalities. This paper also summarizes the research gap and problems in the existing techniques used for detection and classification of brain disorders. Comparison and evaluation of different machine learning and deep learning techniques in terms of efficiency and accuracy are also highlighted in this paper. Furthermore, different brain diseases like leukoariaosis, Alzheimer's, Parkinson's, and Wilson's disorder are studied in the scope of machine learning and deep learning techniques."
Sequence Prediction With Sparse Distributed Hyperdimensional Coding Applied to the Analysis of Mobile Phone Use Patterns.,2016-Sep,"Okko J Rasanen, Jukka P Saarinen","Modeling and prediction of temporal sequences is central to many signal processing and machine learning applications. Prediction based on sequence history is typically performed using parametric models, such as fixed-order Markov chains ( n -grams), approximations of high-order Markov processes, such as mixed-order Markov models or mixtures of lagged bigram models, or with other machine learning techniques. This paper presents a method for sequence prediction based on sparse hyperdimensional coding of the sequence structure and describes how higher order temporal structures can be utilized in sparse coding in a balanced manner. The method is purely incremental, allowing real-time online learning and prediction with limited computational resources. Experiments with prediction of mobile phone use patterns, including the prediction of the next launched application, the next GPS location of the user, and the next artist played with the phone media player, reveal that the proposed method is able to capture the relevant variable-order structure from the sequences. In comparison with the n -grams and the mixed-order Markov models, the sparse hyperdimensional predictor clearly outperforms its peers in terms of unweighted average recall and achieves an equal level of weighted average recall as the mixed-order Markov chain but without the batch training of the mixed-order model."
Computer-aided detection of brain metastasis on 3D MR imaging: Observer performance study.,2017,"Leonard Sunwoo, Young Jae Kim, Seung Hong Choi, Kwang-Gi Kim, Ji Hee Kang, Yeonah Kang, Yun Jung Bae, Roh-Eul Yoo, Jihang Kim, Kyong Joon Lee, Seung Hyun Lee, Byung Se Choi, Cheolkyu Jung, Chul-Ho Sohn, Jae Hyoung Kim",To assess the effect of computer-aided detection (CAD) of brain metastasis (BM) on radiologists' diagnostic performance in interpreting three-dimensional brain magnetic resonance (MR) imaging using follow-up imaging and consensus as the reference standard.
Staging of cervical cancer based on tumor heterogeneity characterized by texture features on (18)F-FDG PET images.,2015-Jul-07,"Wei Mu, Zhe Chen, Ying Liang, Wei Shen, Feng Yang, Ruwei Dai, Ning Wu, Jie Tian","The aim of the study is to assess the staging value of the tumor heterogeneity characterized by texture features and other commonly used semi-quantitative indices extracted from (18)F-FDG PET images of cervical cancer (CC) patients. Forty-two patients suffering CC at different stages were enrolled in this study. Firstly, we proposed a new tumor segmentation method by combining the intensity and gradient field information in a level set framework. Secondly, fifty-four 3D texture features were studied besides of SUVs (SUVmax, SUVmean, SUVpeak) and metabolic tumor volume (MTV). Through correlation analysis, receiver-operating-characteristic (ROC) curves analysis, some independent indices showed statistically significant differences between the early stage (ES, stages I and II) and the advanced stage (AS, stages III and IV). Then the tumors represented by those independent indices could be automatically classified into ES and AS, and the most discriminative feature could be chosen. Finally, the robustness of the optimal index with respect to sampling schemes and the quality of the PET images were validated. Using the proposed segmentation method, the dice similarity coefficient and Hausdorff distance were 91.78   ±   1.66% and 7.94   ±   1.99 mm, respectively. According to the correlation analysis, all the fifty-eight indices could be divided into 20 groups. Six independent indices were selected for their highest areas under the ROC curves (AUROC), and showed significant differences between ES and AS (P  <  0.05). Through automatic classification with the support vector machine (SVM) Classifier, run percentage (RP) was the most discriminative index with the higher accuracy (88.10%) and larger AUROC (0.88). The Pearson correlation of RP under different sampling schemes is 0.9991   ±   0.0011. RP is a highly stable feature and well correlated with tumor stage in CC, which suggests it could differentiate ES and AS with high accuracy."
Voice Disorder Classifications: A Scoping Review - Part A.,2022-Dec-03,"Ana Carolina Constantini, Vanessa Veis Ribeiro, Mara Behlau","Voice is a complex and multidimensional phenomenon of interest to different disciplines. Divergent terminologies and, consequently, classification systems constitute, historically, a difficulty in this field of knowledge, which limits communication between professionals from different countries, backgrounds, and clinical experiences, and well as limiting clinical management and discussion of scientific research findings. This article aims to map and analyze the different diagnostic classifications in voice by describing the findings of a scoping review, consisting of both electronic and manual searches. The results are presented in two parts. In Part A of this article, we explore propositions for comprehensive diagnostic classifications, which involve theoretical frameworks for the constitution of each proposal. The included studies were classified as either articles with theoretical propositions, called G1, or articles using automated computerized classification systems called G2. A total of 44 articles were included: 27 in G1 and 17 in G2. In G1, we found studies from 1947 to 2021, most of which were from the USA, the authors having created theoretical propositions on the subject, considering mainly the etiology of vocal disorder. In G2, we found studies from 2009 onwards, emphasizing automated extraction of acoustic measurements and machine learning to create classification systems. G1 shows the propositions of classifications ranging from two to 11 main groups, each with possible subgroups. In G2, the classifications ranged from four to seven groups, showing preference to distinguish them by descriptions of laryngeal conditions. Conclusion: There is limited convergence between the different theoretical classifications, which is highlighted by the need to create different subgroups, or categories, to include different vocal disorders. The studies with a computerized approach reduce this variability to a certain extent; however, although promising, they should consider theoretical foundations in the proposition of classifications to be applicable to clinical setting."
Lymph Node Metastasis Prediction From In Situ Lung Squamous Cell Carcinoma Histopathology Images Using Deep Learning.,2025-Jan,"Lu Xia, Tao Xu, Yongsheng Zheng, Baohua Li, Yongfang Ao, Xun Li, Weijing Wu, Jiabian Lian","Lung squamous cell carcinoma (LUSC), a subtype of non-small cell lung cancer, represents a significant portion of lung cancer cases with distinct histologic patterns impacting prognosis and treatment. The current pathological assessment methods face limitations such as interobserver variability, necessitating more reliable techniques. This study seeks to predict lymph node metastasis in LUSC using deep learning models applied to histopathology images of primary tumors, offering a more accurate and objective method for diagnosis and prognosis. Whole slide images (WSIs) from the Outdo-LUSC and the cancer genome atlas cohorts were used to train and validate deep learning models. Multiinstance learning was applied, with patch-level predictions aggregated into WSI-level outcomes. The study employed the ResNet-18 network, transfer learning, and rigorous data preprocessing. To represent WSI features, innovative techniques like patch likelihood histogram and bag of words were used, followed by training of machine learning classifiers, including the ExtraTrees algorithm. The diagnostic model for lymph node metastasis showed strong performance, particularly using the ExtraTrees algorithm, as demonstrated by receiver operating characteristic curves and gradient-weighted class activation mapping visualizations. The signature generated by the ExtraTrees algorithm, named lymph node status-related in situ LUSC histopathology (LN_ISLUSCH), achieved an area under the curve of 0.941 (95% CI: 0.926-0.955) in the training set and 0.788 (95% CI: 0.748-0.827) in the test set. Kaplan-Meier analyses confirmed that the LN_ISLUSCH model was a significant prognostic factor (P = .02). This study underscores the potential of artificial intelligence in enhancing diagnostic precision in pathology. The LN_ISLUSCH model stands out as a promising tool for predicting lymph node metastasis and prognosis in LUSC. Future studies should focus on larger and more diverse cohorts and explore the integration of additional omics data to further refine predictive accuracy and clinical utility."
Subtyping hospitalized patients with hypokalemia by machine learning consensus clustering and associated mortality risks.,2022-Feb,"Charat Thongprayoon, Michael A Mao, Andrea G Kattah, Mira T Keddis, Pattharawin Pattharanitima, Stephen B Erickson, John J Dillon, Vesna D Garovic, Wisit Cheungpasitporn","Hospitalized patients with hypokalemia are heterogeneous and cluster analysis, an unsupervised machine learning methodology, may discover more precise and specific homogeneous groups within this population of interest. Our study aimed to cluster patients with hypokalemia at hospital admission using an unsupervised machine learning approach and assess the mortality risk among these distinct clusters."
On the use of AI for Generation of Functional Music to Improve Mental Health.,2020,"Duncan Williams, Victoria J Hodge, Chia-Yu Wu","Increasingly music has been shown to have both physical and mental health benefits including improvements in cardiovascular health, a link to reduction of cases of dementia in elderly populations, and improvements in markers of general mental well-being such as stress reduction. Here, we describe short case studies addressing general mental well-being (anxiety, stress-reduction) through AI-driven music generation. Engaging in active listening and music-making activities (especially for at risk age groups) can be particularly beneficial, and the practice of music therapy has been shown to be helpful in a range of use cases across a wide age range. However, access to music-making can be prohibitive in terms of access to expertize, materials, and cost. Furthermore the use of existing music for functional outcomes (such as targeted improvement in physical and mental health markers suggested above) can be hindered by issues of repetition and subsequent over-familiarity with existing material. In this paper, we describe machine learning approaches which create functional music informed by biophysiological measurement across two case studies, with target emotional states at opposing ends of a Cartesian affective space (a dimensional emotion space with points ranging from descriptors from relaxation, to fear). Galvanic skin response is used as a marker of psychological arousal and as an estimate of emotional state to be used as a control signal in the training of the machine learning algorithm. This algorithm creates a non-linear time series of musical features for sound synthesis ""on-the-fly"", using a perceptually informed musical feature similarity model. We find an interaction between familiarity and perceived emotional response. We also report on subsequent psychometric evaluation of the generated material, and consider how these - and similar techniques - might be useful for a range of functional music generation tasks, for example, in nonlinear sound-tracking such as that found in interactive media or video games."
A Kernel Reinforcement Learning Decoding Framework Integrating Neural and Feedback Signals for Brain Control.,2023-Jul,"Xiang Zhang, Yiwen Wang","Brain-Machine Interfaces (BMIs) have the potential to allow subjects to brain control (BC) external devices, where their brain signals could be translated to the action of the neuro-prosthesis by reinforcement learning (RL) based decoder. During the BC task, feedback cues are provided to guide subject's learning. Subjects will adapt the neural signals according to the feedback cues. Concurrently, the RL decoding parameters are adjusted when the subject explores the BC task through trial and error, leading to a co-adaptive process between the subject and the decoder. However, when subjects receive the feedback cues and enhance their learning, the decoder does not actively utilize the feedback cues. If the RL decoder could integrate both neural signals and feedback cues, the training efficiency of the BC task would increase. A major challenge is the different temporal scales of neural signals and feedback cues, making it difficult to integrate them into a single decoder. In this paper, we propose a novel kernel RL decoding method as the first attempt to combine two signals with different temporal scales for RL decoding. The neural signals and the feedback cues comprise the decoding input, which is then projected into individual Reproducing Kernel Hilbert Spaces (RKHSs) respectively. These two RKHSs form a joint feature space, where the action of the neuro-prosthesis could be decoded linearly. We evaluate the proposed method on a simulated brain control cursor-reaching task. Our proposed method is compared with the kernel RL that only uses neural signals as the input. The proposed method has a faster learning speed and better decoding accuracy. The results demonstrate that our proposed method has successfully integrated the information of the feedback cue and facilitates the training procedure for the BC task.Clinical Relevance-This paper provides an integrated reinforcement learning decoding framework, which combines the neural signals and the feedback cues to increase the learning speed and the accuracy of the brain control task. Subjects could learn the task more easily with this decoder."
A Machine Learning Understanding of Sepsis.,2021-Nov,"Manish Shetty, Soumya Mary Alex, Merlin Moni, Fabia Edathadathil, Preetha Prasanna, Veena Menon, Vidya P Menon, Prashanth Athri, Gowri Srinivasa","Sepsis is a serious cause of morbidity and mortality and yet its pathophysiology remains elusive. Recently, medical and technological advances have helped redefine the criteria for sepsis incidence, which is otherwise poorly understood. With the recording of clinical parameters and outcomes of patients, enabling technologies, such as machine learning, open avenues for early prognostic systems for sepsis. In this work, we propose a two-phase approach towards prognostic scoring by predicting two outcomes in sepsis patients - Sepsis Severity and Comorbidity Severity. We train and evaluate multiple machine learning models on a dataset of 80 parameters collected from 800 patients at Amrita Institute of Medical Sciences, Kerala, India. We present an analysis of these results and harmonize consistencies and/or contradictions between elements of human knowledge and that of the model, using local interpretable model-agnostic explanations and other methods."
Deep Learning Diffuse Optical Tomography.,2020-Apr,"Jaejun Yoo, Sohail Sabir, Duchang Heo, Kee Hyun Kim, Abdul Wahab, Yoonseok Choi, Seul-I Lee, Eun Young Chae, Hak Hee Kim, Young Min Bae, Young-Wook Choi, Seungryong Cho, Jong Chul Ye","Diffuse optical tomography (DOT) has been investigated as an alternative imaging modality for breast cancer detection thanks to its excellent contrast to hemoglobin oxidization level. However, due to the complicated non-linear photon scattering physics and ill-posedness, the conventional reconstruction algorithms are sensitive to imaging parameters such as boundary conditions. To address this, here we propose a novel deep learning approach that learns non-linear photon scattering physics and obtains an accurate three dimensional (3D) distribution of optical anomalies. In contrast to the traditional black-box deep learning approaches, our deep network is designed to invert the Lippman-Schwinger integral equation using the recent mathematical theory of deep convolutional framelets. As an example of clinical relevance, we applied the method to our prototype DOT system. We show that our deep neural network, trained with only simulation data, can accurately recover the location of anomalies within biomimetic phantoms and live animals without the use of an exogenous contrast agent."
Brain functional connectivity patterns for emotional state classification in Parkinson's disease patients without dementia.,2016-Feb-01,"R Yuvaraj, M Murugappan, U Rajendra Acharya, Hojjat Adeli, Norlinah Mohamed Ibrahim, Edgar Mesquita","Successful emotional communication is crucial for social interactions and social relationships. Parkinson's Disease (PD) patients have shown deficits in emotional recognition abilities although the research findings are inconclusive. This paper presents an investigation of six emotions (happiness, sadness, fear, anger, surprise, and disgust) of twenty non-demented (Mini-Mental State Examination score >24) PD patients and twenty Healthy Controls (HCs) using Electroencephalogram (EEG)-based Brain Functional Connectivity (BFC) patterns. The functional connectivity index feature in EEG signals is computed using three different methods: Correlation (COR), Coherence (COH), and Phase Synchronization Index (PSI). Further, a new functional connectivity index feature is proposed using bispectral analysis. The experimental results indicate that the BFC change is significantly different among emotional states of PD patients compared with HC. Also, the emotional connectivity pattern classified using Support Vector Machine (SVM) classifier yielded the highest accuracy for the new bispectral functional connectivity index. The PD patients showed emotional impairments as demonstrated by a poor classification performance. This finding suggests that decrease in the functional connectivity indices during emotional stimulation in PD, indicating functional disconnections between cortical areas."
Dissociable default-mode subnetworks subserve childhood attention and cognitive flexibility: Evidence from deep learning and stereotactic electroencephalography.,2023-Oct,"Nebras M Warsi, Simeon M Wong, Jürgen Germann, Alexandre Boutet, Olivia N Arski, Ryan Anderson, Lauren Erdman, Han Yan, Hrishikesh Suresh, Flavia Venetucci Gouveia, Aaron Loh, Gavin J B Elias, Elizabeth Kerr, Mary Lou Smith, Ayako Ochi, Hiroshi Otsubo, Roy Sharma, Puneet Jain, Elizabeth Donner, Andres M Lozano, O Carter Snead, George M Ibrahim","Cognitive flexibility encompasses the ability to efficiently shift focus and forms a critical component of goal-directed attention. The neural substrates of this process are incompletely understood in part due to difficulties in sampling the involved circuitry. We leverage stereotactic intracranial recordings to directly resolve local-field potentials from otherwise inaccessible structures to study moment-to-moment attentional activity in children with epilepsy performing a flexible attentional task. On an individual subject level, we employed deep learning to decode neural features predictive of task performance indexed by single-trial reaction time. These models were subsequently aggregated across participants to identify predictive brain regions based on AAL atlas and FIND functional network parcellations. Through this approach, we show that fluctuations in beta (12-30 Hz) and gamma (30-80 Hz) power reflective of increased top-down attentional control and local neuronal processing within relevant large-scale networks can accurately predict single-trial task performance. We next performed connectomic profiling of these highly predictive nodes to examine task-related engagement of distributed functional networks, revealing exclusive recruitment of the dorsal default mode network during shifts in attention. The identification of distinct substreams within the default mode system supports a key role for this network in cognitive flexibility and attention in children. Furthermore, convergence of our results onto consistent functional networks despite significant inter-subject variability in electrode implantations supports a broader role for deep learning applied to intracranial electrodes in the study of human attention."
Rapid screening of classic galactosemia patients: a proof-of-concept study using high-throughput FTIR analysis of plasma.,2015-Apr-07,"Caroline Lacombe, Valérie Untereiner, Cyril Gobinet, Mokhtar Zater, Ganesh D Sockalingum, Roselyne Garnotel","Classic galactosemia is an autosomal recessive metabolic disease involving the galactose pathway, caused by the deficiency of galactose-1-phosphate uridyltransferase. Galactose accumulation induces in newborns many symptoms, such as liver disease, cataracts, and sepsis leading to death if untreated. Neonatal screening is developed and applied in many countries using several methods to detect galactose or its derived product accumulation in blood or urine. High-throughput FTIR spectroscopy was investigated as a potential tool in the current screening methods. IR spectra were obtained from blood plasma of healthy, diabetic, and galactosemic patients. The major spectral differences were in the carbohydrate region, which was first analysed in an exploratory manner using principal component analysis (PCA). PCA score plots showed a clear discrimination between diabetic and galactosemic patients and this was more marked as a function of the glucose and galactose increased concentration in these patients' plasma respectively. Then, a support vector machine leave-one-out cross-validation (SVM-LOOCV) classifier was built with the PCA scores as the input and the model was tested on median, mean and all spectra from the three population groups. This classifier was able to discriminate healthy/diabetic, healthy/galactosemic, and diabetic/galactosemic patients with sensitivity and specificity rates ranging from 80% to 94%. The total accuracy rate ranged from 87% to 96%. High-throughput FTIR spectroscopy combined with the SVM-LOOCV classification procedure appears to be a promising tool in the screening of galactosemia patients, with good sensitivity and specificity. Furthermore, this approach presents the advantages of being cost-effective, fast, and straightforward in the screening of galactosemic patients."
Imaging Beyond Seeing: Early Prognosis of Cancer Treatment.,2021-Mar,"Changrong Shi, Zijian Zhou, Hongyu Lin, Jinhao Gao","Assessing cancer response to therapeutic interventions has been realized as an important course to early predict curative efficacy and treatment outcomes due to tumor heterogeneity. Compared to the traditional invasive tissue biopsy method, molecular imaging techniques have fundamentally revolutionized the ability to evaluate cancer response in a spatiotemporal manner. The past few years has witnessed a paradigm shift on the efforts from manufacturing functional molecular imaging probes for seeing a tumor to a vantage stage of interpreting the tumor response during different treatments. This review is to stand by the current development of advanced imaging technologies aiming to predict the treatment response in cancer therapy. Special interest is placed on the systems that are able to provide rapid and noninvasive assessment of pharmacokinetic drug fates (e.g., drug distribution, release, and activation) and tumor microenvironment heterogeneity (e.g., tumor cells, macrophages, dendritic cells (DCs), T cells, and inflammatory cells). The current status, practical significance, and future challenges of the emerging artificial intelligence (AI) technology and machine learning in the applications of medical imaging fields is overviewed. Ultimately, the authors hope that this review is timely to spur research interest in molecular imaging and precision medicine."
Reconstructing growth and dynamic trajectories from single-cell transcriptomics data.,2024,"Yutong Sha, Yuchi Qiu, Peijie Zhou, Qing Nie","Time-series single-cell RNA sequencing (scRNA-seq) datasets provide unprecedented opportunities to learn dynamic processes of cellular systems. Due to the destructive nature of sequencing, it remains challenging to link the scRNA-seq snapshots sampled at different time points. Here we present TIGON, a dynamic, unbalanced optimal transport algorithm that reconstructs dynamic trajectories and population growth simultaneously as well as the underlying gene regulatory network from multiple snapshots. To tackle the high-dimensional optimal transport problem, we introduce a deep learning method using a dimensionless formulation based on the Wasserstein-Fisher-Rao (WFR) distance. TIGON is evaluated on simulated data and compared with existing methods for its robustness and accuracy in predicting cell state transition and cell population growth. Using three scRNA-seq datasets, we show the importance of growth in the temporal inference, TIGON's capability in reconstructing gene expression at unmeasured time points and its applications to temporal gene regulatory networks and cell-cell communication inference."
Capturing heterogeneous group differences using mixture-of-experts: Application to a study of aging.,2016-Jan-15,"Harini Eavani, Meng Kang Hsieh, Yang An, Guray Erus, Lori Beason-Held, Susan Resnick, Christos Davatzikos","In MRI studies, linear multi-variate methods are often employed to identify regions or connections that are affected due to disease or normal aging. Such linear models inherently assume that there is a single, homogeneous abnormality pattern that is present in all affected individuals. While kernel-based methods can implicitly model a non-linear effect, and therefore the heterogeneity in the affected group, extracting and interpreting information about affected regions is difficult. In this paper, we present a method that explicitly models and captures heterogeneous patterns of change in the affected group relative to a reference group of controls. For this purpose, we use the Mixture-of-Experts (MOE) framework, which combines unsupervised modeling of mixtures of distributions with supervised learning of classifiers. MOE approximates the non-linear boundary between the two groups with a piece-wise linear boundary, thus allowing discovery of multiple patterns of group differences. In the case of patient/control comparisons, each such pattern aims to capture a different dimension of a disease, and hence to identify patient subgroups. We validated our model using multiple simulation scenarios and performance measures. We applied this method to resting state functional MRI data from the Baltimore Longitudinal Study of Aging, to investigate heterogeneous effects of aging on brain function in cognitively normal older adults (>85years) relative to a reference group of normal young to middle-aged adults (<60years). We found strong evidence for the presence of two subgroups of older adults, with similar age distributions in each subgroup, but different connectivity patterns associated with aging. While both older subgroups showed reduced functional connectivity in the Default Mode Network (DMN), increases in functional connectivity within the pre-frontal cortex as well as the bilateral insula were observed only for one of the two subgroups. Interestingly, the subgroup showing this increased connectivity (unlike the other subgroup) was, cognitively similar at baseline to the young and middle-aged subjects in two of seven cognitive domains, and had a faster rate of cognitive decline in one of seven domains. These results suggest that older individuals whose baseline cognitive performance is comparable to that of younger individuals recruit their ""cognitive reserve"" later in life, to compensate for reduced connectivity in other brain regions."
Quantitative Analysis of Soil Total Nitrogen Using Hyperspectral Imaging Technology with Extreme Learning Machine.,2019-Oct-09,"Hongyang Li, Shengyao Jia, Zichun Le","Soil nutrient detection is important for precise fertilization. A total of 150 soil samples were picked from Lishui City. In this work, the total nitrogen (TN) content in soil samples was detected in the spectral range of 900-1700 nm using a hyperspectral imaging (HSI) system. Characteristic wavelengths were extracted using uninformative variable elimination (UVE) and the successive projections algorithm (SPA), separately. Partial least squares (PLS) and extreme learning machine (ELM) were used to establish the calibration models with full spectra and characteristic wavelengths, respectively. The results indicated that the prediction effect of the nonlinear ELM model was superior to the linear PLS model. In addition, the models using the characteristic wavelengths could also achieve good results, and the UVE-ELM model performed better, having a correlation coefficient of prediction (r"
Applications of artificial intelligence in digital pathology for gastric cancer.,2024,"Sheng Chen, Ping'an Ding, Honghai Guo, Lingjiao Meng, Qun Zhao, Cong Li","Gastric cancer is one of the most common cancers and is one of the leading causes of cancer-related deaths in worldwide. Early diagnosis and treatment are essential for a positive outcome. The integration of artificial intelligence in the pathology field is increasingly widespread, including histopathological images analysis. In recent years, the application of digital pathology technology emerged as a potential solution to enhance the understanding and management of gastric cancer. Through sophisticated image analysis algorithms, artificial intelligence technologies facilitate the accuracy and sensitivity of gastric cancer diagnosis and treatment and personalized therapeutic strategies. This review aims to evaluate the current landscape and future potential of artificial intelligence in transforming gastric cancer pathology, so as to provide ideas for future research."
Non-melanoma skin cancer diagnosis: a comparison between dermoscopic and smartphone images by unified visual and sonification deep learning algorithms.,2022-Sep,"A Dascalu, B N Walker, Y Oron, E O David","Non-melanoma skin cancer (NMSC) is the most frequent keratinocyte-origin skin tumor. It is confirmed that dermoscopy of NMSC confers a diagnostic advantage as compared to visual face-to-face assessment. COVID-19 restrictions diagnostics by telemedicine photos, which are analogous to visual inspection, displaced part of in-person visits. This study evaluated by a dual convolutional neural network (CNN) performance metrics in dermoscopic (DI) versus smartphone-captured images (SI) and tested if artificial intelligence narrows the proclaimed gap in diagnostic accuracy."
